서울특별시  (1100000000),"4,563,512","4,563,512","114,462","159,003","184,679","196,984","269,650","388,629","384,156","328,716","364,361","347,724","396,389","336,779","345,148","274,967","188,897","137,704","95,768","37,741","9,743","1,709",303,"4,859,198","4,859,198","107,554","152,039","175,142","189,729","303,950","418,436","382,642","329,628","369,732","357,681","405,375","351,556","376,698","314,346","222,292","171,962","129,079","68,041","25,841","6,358","1,117"
부산광역시  (2600000000),"1,615,593","1,615,593","40,495","63,358","68,870","67,308","92,214","108,064","104,542","98,268","127,469","120,741","138,011","125,810","143,450","120,599","84,356","56,429","37,938","13,957","3,197",440,77,"1,695,809","1,695,809","38,671","59,893","65,281","63,756","87,327","101,581","97,038","94,495","124,305","119,327","141,587","134,786","160,404","135,786","100,372","71,140","57,329","29,295","10,580","2,497",359
대구광역시  (2700000000),"1,159,042","1,159,042","30,616","48,650","54,815","56,708","72,786","79,928","77,065","70,861","87,813","90,207","105,713","96,556","97,663","71,693","50,191","31,766","23,595","9,765","2,300",322,29,"1,198,839","1,198,839","28,984","46,522","51,649","52,456","64,787","71,461","65,770","64,878","89,514","93,086","110,145","101,462","105,383","80,323","61,513","43,353","37,846","20,686","7,296","1,508",217
인천광역시  (2800000000),"1,489,277","1,489,277","43,274","62,489","70,604","69,412","85,060","108,019","109,494","102,326","126,847","120,141","133,175","120,938","126,145","86,608","52,733","35,953","23,282","9,720","2,496",465,96,"1,487,061","1,487,061","41,167","59,528","66,869","65,644","79,016","99,168","99,412","95,692","119,219","115,144","132,312","123,148","126,519","91,230","57,720","44,684","37,130","21,799","9,096","2,171",393
광주광역시  (2900000000),"704,974","704,974","21,046","32,407","38,065","39,212","48,836","53,237","46,129","44,189","57,399","57,917","63,791","54,299","50,787","35,661","24,941","17,830","12,628","5,124","1,255",203,18,"721,651","721,651","20,223","30,708","35,724","36,368","45,187","48,356","42,425","42,723","57,653","58,748","64,712","55,599","54,583","39,932","30,222","23,464","19,134","10,620","4,168",925,177
대전광역시  (3000000000),"720,934","720,934","21,034","30,555","35,111","36,790","48,467","57,769","52,124","46,722","55,577","56,455","64,944","54,655","55,624","41,349","26,648","17,627","12,502","5,322","1,419",210,30,"724,280","724,280","19,939","28,784","32,972","34,535","45,456","50,747","45,481","43,264","55,263","57,395","64,903","55,147","58,407","44,676","30,088","21,966","18,977","10,974","4,150",994,162
울산광역시  (3100000000),"568,824","568,824","16,295","26,334","29,322","28,039","32,403","39,153","37,929","36,734","47,703","44,819","51,682","51,043","49,876","34,078","21,004","11,919","7,314","2,502",591,80,4,"538,310","538,310","15,614","24,665","27,195","25,004","25,078","29,547","30,930","32,959","44,510","43,385","52,177","48,789","47,956","34,482","21,710","13,837","11,232","6,268","2,347",559,66
세종특별자치시  (3600000000),"192,316","192,316","9,344","13,734","14,094","10,915","9,232","10,256","13,547","16,193","20,441","18,069","16,205","11,302","10,597","7,628","4,706","2,825","2,017",927,234,44,6,"193,509","193,509","9,173","13,189","13,666","10,932","8,427","10,192","14,271","16,667","21,312","17,372","14,421","10,611","10,581","7,827","4,968","3,439","3,140","2,117",957,210,37
경기도  (4100000000),"6,847,848","6,847,848","214,065","309,342","344,792","334,018","405,597","498,988","496,658","480,333","592,946","567,113","625,670","537,143","528,094","364,799","221,538","156,251","108,570","47,024","12,398","2,081",428,"6,760,071","6,760,071","203,842","295,823","328,921","316,974","373,110","439,121","447,239","453,324","567,397","550,454","611,830","526,249","520,285","377,423","247,447","195,525","162,846","95,068","36,858","8,850","1,485"
강원도  (4200000000),"771,382","771,382","20,403","27,913","33,037","34,987","45,740","48,013","43,418","41,278","52,520","56,360","68,778","65,714","75,495","60,956","35,653","28,212","21,189","8,944","2,217",470,85,"761,974","761,974","19,509","26,389","31,101","31,836","36,360","37,207","36,679","37,949","50,907","53,822","63,643","62,428","75,440","60,480","39,913","35,427","33,587","19,391","7,656","1,962",288
충청북도  (4300000000),"810,806","810,806","22,256","32,502","37,578","37,718","46,979","56,406","52,319","49,321","60,078","61,294","70,945","67,122","73,296","55,953","34,475","23,588","18,274","8,347","1,974",335,46,"783,303","783,303","20,889","31,284","35,406","34,599","39,025","43,558","41,222","43,758","55,611","57,440","66,711","63,497","70,425","55,954","37,050","29,712","29,848","18,768","6,871","1,428",247
충청남도  (4400000000),"1,088,126","1,088,126","30,522","45,880","53,146","51,436","59,890","67,398","67,073","69,203","87,719","85,875","96,275","85,777","92,833","69,347","48,407","33,543","25,925","13,582","3,657",569,69,"1,037,207","1,037,207","29,080","43,677","49,693","47,795","49,933","51,802","54,769","60,475","76,798","75,984","83,634","77,243","87,953","69,766","52,311","40,890","42,703","28,688","11,241","2,339",433
전라북도  (4500000000),"877,966","877,966","20,776","34,143","42,138","43,861","53,108","52,831","45,281","45,245","60,806","67,899","80,845","74,176","78,724","61,491","44,643","32,401","24,539","11,456","3,046",496,61,"886,215","886,215","20,242","32,303","39,643","40,516","44,803","44,401","40,584","43,380","58,077","64,412","73,989","69,206","78,196","63,176","50,170","41,593","42,108","26,349","10,323","2,312",432
전라남도  (4600000000),"913,624","913,624","23,059","34,341","41,126","41,557","50,666","51,498","44,099","45,749","62,967","67,795","83,971","83,465","87,465","65,673","49,916","35,824","28,620","11,984","3,274",512,63,"899,815","899,815","22,299","32,527","39,263","38,346","39,998","40,362","38,707","42,490","55,906","59,108","71,466","71,701","81,598","64,697","54,273","47,674","52,082","31,747","12,411","2,638",522
경상북도  (4700000000),"1,308,840","1,308,840","32,814","49,854","57,209","57,902","70,989","75,216","70,993","72,129","93,582","96,677","117,419","114,836","127,339","99,475","71,365","44,605","35,691","15,965","4,074",640,66,"1,283,365","1,283,365","30,907","46,972","52,830","51,669","53,888","55,643","57,588","64,257","86,047","89,864","107,488","107,521","123,519","100,449","78,122","57,579","62,242","38,532","14,578","3,155",515
경상남도  (4800000000),"1,645,335","1,645,335","42,808","71,978","83,664","81,387","91,278","95,203","91,840","96,716","132,216","132,049","154,553","139,867","149,745","111,440","73,787","46,665","32,293","13,852","3,436",497,61,"1,622,034","1,622,034","40,681","67,747","78,526","73,296","70,774","75,300","78,816","89,991","124,772","125,571","146,705","134,369","147,622","113,945","81,629","60,382","58,857","35,860","13,972","2,838",381
제주특별자치도  (5000000000),"339,086","339,086","10,729","16,765","18,819","17,799","19,516","21,012","19,617","20,183","27,856","28,509","32,629","28,353","26,424","18,963","12,255","9,405","6,394","3,021",747,75,15,"338,029","338,029","10,153","15,919","17,742","16,095","16,816","18,883","18,840","20,244","27,699","26,488","30,573","26,163","25,854","19,751","13,722","11,766","10,272","6,918","3,152",721,258
